timestamp,IdRegion,IdDrone,CurrentDate,CurrentTime,x,y,RegionState,StreetCode1,StreetCode2,StreetCode3,HouseNumber,StreetName,Violation,IdPhoto,Plaque,PlateType,VehicleBodyType,VehicleMake,VehicleColor,ViolationCode,ViolationDescription
2020-07-15T22:31:16.742+02:00,1,11,2020-07-15,22:31:16,41.127525,-73.283356,NY,46730,40030,"",1115,Halsey St,1,9cae9b73-90f3-435c-ae03-75b34eeae0e8,"","","","","","",""
2020-07-15T22:31:16.878+02:00,3,32,2020-07-15,22:31:16,41.281487,-75.29116,NY,26160,21520,"",389,E 150th St,1,1ff67a06-a02b-41c0-9dbb-2d713662a677,"","","","","","",""
2020-07-15T22:31:17.007+02:00,1,14,2020-07-15,22:31:16,41.33552,-73.15584,NY,12530,18950,"",123,Amersfort Pl,1,0da8ea60-c9f4-4c50-bbb1-4f1c1babd699,"","","","","","",""
2020-07-15T22:31:17.139+02:00,6,61,2020-07-15,22:31:17,43.985195,-77.08556,NY,35290,11710,"",205,W 76th St,1,42db05ab-0aea-46b1-9007-aefd7023dc1e,"","","","","","",""
2020-07-15T22:31:17.333+02:00,3,33,2020-07-15,22:31:17,41.418762,-75.77266,NY,51090,16590,"",80-17,Jamaica Ave,1,903dc037-334d-42cd-a1b2-91e67776e41d,"","","","","","",""
2020-07-15T22:31:50.164+02:00,4,47,2020-07-15,22:31:50,43.53972,-75.81852,NY,13610,37610,"",4530,BROADWAY,1,76d8c1aa-b7e7-4196-951d-0aa538a4e8ed,"","","","","","",""
2020-07-15T22:31:50.303+02:00,4,44,2020-07-15,22:31:50,43.991524,-75.49599,NY,0,0,"",35-53,95th St,1,7274fd5c-5ae1-4ab4-ba28-27af2276c176,"","","","","","",""
2020-07-15T22:31:50.428+02:00,2,22,2020-07-15,22:31:50,43.429996,-73.28344,NY,10210,19350,"",2212,3rd Ave,1,4f8395f6-9fb0-4ac4-bbcc-1fb9d6c469b4,"","","","","","",""
2020-07-15T22:31:50.549+02:00,1,12,2020-07-15,22:31:50,41.04705,-73.8073,NY,10110,31090,"",136,2nd Ave,1,1d295869-b487-4231-b348-b3f36efe2b39,"","","","","","",""
2020-07-15T22:31:50.663+02:00,2,25,2020-07-15,22:31:50,43.773342,-73.02493,NY,5880,9330,"",5518,8th Ave,1,bf04916d-efec-4afe-b422-2ac0e0f98cab,"","","","","","",""
2020-07-15T22:31:50.820+02:00,6,66,2020-07-15,22:31:50,43.838837,-77.41403,NY,19230,23330,"",1286,Bergen St,1,afc2ca02-fbad-48f3-bc96-4b03b80341b2,"","","","","","",""
2020-07-15T22:31:50.975+02:00,4,41,2020-07-15,22:31:50,43.258446,-75.75143,NY,58820,79150,"",1516,Plymouth Ave,1,729746e7-04f9-4bda-ad7c-e9c06ecb218d,"","","","","","",""
2020-07-15T22:31:51.164+02:00,4,45,2020-07-15,22:31:51,43.57823,-75.90359,NY,29220,40404,"",2486,E Fordham Rd,1,5f54ad2f-9f15-4e26-9ada-51f15eb47a64,"","","","","","",""
2020-07-15T22:31:51.290+02:00,6,66,2020-07-15,22:31:51,43.09646,-77.23756,NY,10010,19290,"",2285,1st Ave,1,29e2302b-3b8a-4b91-b6bf-cf88e5d0c499,"","","","","","",""
2020-07-15T22:31:51.405+02:00,4,46,2020-07-15,22:31:51,43.363434,-75.724396,NY,0,40404,"",2125,Frederick Douglass B,1,e886b9e6-93b0-42af-bdff-67321c8cb463,"","","","","","",""
2020-07-15T22:31:51.531+02:00,7,73,2020-07-15,22:31:51,41.461525,-79.76438,NY,59430,7530,"",1603,McDonald Ave,1,b1502b30-75c1-47e6-b9da-24d74650e0b1,"","","","","","",""
2020-07-15T22:31:51.668+02:00,7,71,2020-07-15,22:31:51,41.461525,-79.76438,NY,59430,7530,"",1603,McDonald Ave,1,120379ce-63f5-49c3-8416-f12101968945,"","","","","","",""
2020-07-15T22:31:51.777+02:00,2,25,2020-07-15,22:31:51,43.361374,-73.839935,NY,37930,26630,"",286,E 93rd St,1,2e40bda2-93de-4d90-aadd-3a48233fe08b,"","","","","","",""
2020-07-15T22:31:51.883+02:00,4,47,2020-07-15,22:31:51,43.363434,-75.724396,NY,0,40404,"",2125,Frederick Douglass B,1,0b060601-89d6-4d91-904a-f106dc6da218,"","","","","","",""
2020-07-15T22:31:51.998+02:00,1,15,2020-07-15,22:31:51,41.584595,-73.78567,NY,81830,60330,"",2943,Stillwell Ave,1,1ecf70e7-ebe3-46ec-96e5-5ca246c23608,"","","","","","",""
2020-07-15T22:31:52.144+02:00,2,24,2020-07-15,22:31:52,43.764164,-73.41271,NY,52930,93250,"",387,Jay St,1,460ac25b-b077-42f7-b68b-2feefd27a108,"","","","","","",""
2020-07-15T22:31:52.247+02:00,6,63,2020-07-15,22:31:52,43.159935,-77.55572,NY,14630,35080,"",712,Avenue U,1,260b6840-b624-424b-b186-b65f09779f74,"","","","","","",""
2020-07-15T22:31:52.354+02:00,3,37,2020-07-15,22:31:52,41.881485,-75.41801,NY,0,0,"",1505,E 15th St,1,911c8d2c-9800-4ebc-a15f-739b29bdd093,"","","","","","",""
2020-07-15T22:31:52.459+02:00,6,66,2020-07-15,22:31:52,43.532043,-77.18233,NY,51090,24840,"",175-09,Jamaica Ave,1,82028e08-168a-417b-bd02-24c405cbeceb,"","","","","","",""
2020-07-15T22:31:52.569+02:00,1,17,2020-07-15,22:31:52,41.58413,-73.080574,NY,0,0,"",null,NB SOUTHERN BLVD @ E,1,5a57e0a8-4ec9-4b31-a6c3-321e7bd74a13,"","","","","","",""
2020-07-15T22:31:52.713+02:00,5,53,2020-07-15,22:31:52,41.974518,-77.826645,NY,12110,17130,"",121,Avenue A,1,44f26d01-1dc6-49a3-9513-f17bb1fde2b0,"","","","","","",""
2020-07-15T22:31:52.826+02:00,1,16,2020-07-15,22:31:52,41.04705,-73.8073,NY,10110,31090,"",136,2nd Ave,1,010de64a-3da0-4f74-81da-09ec1d32061c,"","","","","","",""
2020-07-15T22:31:52.937+02:00,5,56,2020-07-15,22:31:52,41.46314,-77.10834,NY,31190,37450,"",1511,ST NICHOLAS AVE,1,53812d72-013f-4e22-b3bb-af1b2621951b,"","","","","","",""
2020-07-15T22:31:53.039+02:00,7,71,2020-07-15,22:31:53,41.407223,-79.792175,NY,81430,73110,"",1757,STERLING PL,1,13957a05-bd10-460d-88d9-a8508f5294ab,"","","","","","",""
2020-07-15T22:31:53.145+02:00,5,53,2020-07-15,22:31:53,41.39,-77.83611,NY,61090,18090,"",89-14,Roosevelt Ave,1,ad74aab4-03b4-4777-8f28-65c5d2bd9ffb,"","","","","","",""
2020-07-15T22:31:53.277+02:00,5,51,2020-07-15,22:31:53,41.46314,-77.10834,NY,31190,37450,"",1511,ST NICHOLAS AVE,1,dc19d316-b48d-475f-8004-6a59ac82305d,"","","","","","",""
2020-07-15T22:31:53.397+02:00,4,42,2020-07-15,22:31:53,43.600063,-75.56084,NY,27530,73220,"",104,Clinton St,1,d1a155a0-7d7e-4b1f-9716-816906bbca0d,"","","","","","",""
2020-07-15T22:31:53.502+02:00,7,76,2020-07-15,22:31:53,41.114594,-79.67785,NY,0,0,"",65-21,Main St,1,b1bab981-6788-45b7-9625-f47ae45f2361,"","","","","","",""
2020-07-15T22:31:53.610+02:00,2,26,2020-07-15,22:31:53,43.66272,-73.88125,NY,14530,90680,"",null,AVE S,1,92178e7f-e0d3-4355-8ba7-5f8f4409cae7,"","","","","","",""
2020-07-15T22:31:53.726+02:00,1,15,2020-07-15,22:31:53,41.458267,-73.3824,NY,72320,22240,"",1933,VYSE AVE,1,a6e3f87d-f56d-4fe9-a6bb-4454d8f854c3,"","","","","","",""
2020-07-15T22:31:53.831+02:00,4,43,2020-07-15,22:31:53,43.5327,-75.084076,NY,70820,64820,"",3141,Valhalla Dr,1,d8eb0f8c-c422-45a9-b5a4-b76b078ee480,"","","","","","",""
2020-07-15T22:31:53.941+02:00,4,47,2020-07-15,22:31:53,43.5327,-75.084076,NY,70820,64820,"",3141,Valhalla Dr,1,7d4165d2-2060-4828-a3be-d3ffa9dff65c,"","","","","","",""
2020-07-15T22:31:54.100+02:00,4,42,2020-07-15,22:31:54,43.14704,-75.87913,NY,0,0,"",null,S/W C/O E 80 ST,1,ffcb7321-962b-44c5-b0f4-828c41c9ad28,"","","","","","",""
2020-07-15T22:31:54.219+02:00,5,52,2020-07-15,22:31:54,41.154934,-77.99088,NY,23170,50620,"",245-43,149 AVE,1,fc62ef3d-0c6c-4e8a-a285-41a4561cfe06,"","","","","","",""
2020-07-15T22:31:54.362+02:00,3,33,2020-07-15,22:31:54,41.169334,-75.52824,NY,26400,25520,"",645,E 158th St,1,600460f9-90a9-43f6-81b0-387eb9638bd2,"","","","","","",""
2020-07-15T22:31:54.464+02:00,2,25,2020-07-15,22:31:54,43.319824,-73.96076,NY,0,0,"",S,Clinton Ave,1,0a78d2ee-33ee-4adb-87e8-55e05aed970e,"","","","","","",""
2020-07-15T22:31:54.601+02:00,7,75,2020-07-15,22:31:54,41.753983,-79.38088,NY,0,40404,"",59,AUDUBON,1,f532489c-1d14-4219-abc4-a0f3d05f7eb5,"","","","","","",""
2020-07-15T22:31:54.736+02:00,3,31,2020-07-15,22:31:54,41.12462,-75.98824,NY,0,0,"",411,Myrtle Ave,1,7845e947-31ca-4888-a814-5c3ad4a8f7da,"","","","","","",""
