idDrone,idRegion,RegionState,StreetCode1,StreetCode2,StreetCode3,HouseNumber,StreetName,longitude,latitude,currentDate,currentTime,violationType,code,violationDescription,idPhoto,plaque,plateType,VehicleBodyType,VehicleMake,VehicleColor
21,2,NY,0,0,0,"",WHITE PLAINS RD.(S/B,-70.64733,-72.405594,"",07:09:00,1,7,FAILURE TO STOP AT RED LIGHT,Molgp9qD0Z,T602309C,"",4DSD,MERCU,GY
26,2,NY,0,0,0,"",ATLANTIC AVE.(W)@ BE,-71.80861,-73.89358,"",07:09:00,1,7,FAILURE TO STOP AT RED LIGHT,bRF32WZWfk,90153,"",2DSD,ME/BE,GY
492,1588,NJ,0,0,0,"",NORTHERN BLVD.(E/B)@,-53.344246,-82.35225,"",07:09:00,1,7,FAILURE TO STOP AT RED LIGHT,H8u7NNh08k,K97CWJ,"",4 DR,FORD,GY
62,6,NY,0,0,0,"",SUNRISE HWY.(W/B) @,-74.60582,-76.83689,"",07:12:00,1,7,FAILURE TO STOP AT RED LIGHT,ZMqv5xCrBN,54604JX,"",VAN,FORD,WH
47,4,NY,0,0,0,"",CADMAN PLAZA(E/B)@PR,-72.74751,-74.35474,"",07:12:00,1,7,FAILURE TO STOP AT RED LIGHT,H5kzLYuG0l,9F55D,"",TAXI,TOYOT,YW
546,1217,NJ,0,0,0,"",SUNRISE HWY.(W/B) @,-54.692947,-105.43131,"",07:10:00,1,7,FAILURE TO STOP AT RED LIGHT,2sW8ErVBrz,RLC13J,"",4 DR,CHRYS,BK
63,6,NY,0,0,0,"",GUN HILL ROAD(W/B)@E,-75.877464,-77.975624,"",07:16:00,1,7,FAILURE TO STOP AT RED LIGHT,n7taFMKfyN,EKF4347,"","",FORD,RD
47,4,NY,0,0,0,"",CONEY ISLAND AVE.(S/,-73.19808,-74.865234,"",07:17:00,1,7,FAILURE TO STOP AT RED LIGHT,6caZ4QFji3,T490135C,"",SUBN,FORD,WH
46,4,NY,0,0,0,"",HORACE HARDING EXPWY,-73.961075,-74.74688,"",07:18:00,1,7,FAILURE TO STOP AT RED LIGHT,mO87ofYpCS,FAZ7280,"",4DSD,SATUR,BK
64,6,NY,0,0,0,"",SUNRISE HWY.(W/B) @,-74.614365,-77.55538,"",07:22:00,1,7,FAILURE TO STOP AT RED LIGHT,Xfc1YpPq1h,65225MC,"",STAK,INTER,RD
33,3,NY,0,0,0,"",3RD AVE.(N/B)@36TH S,-73.769356,-75.82021,"",07:12:00,1,7,FAILURE TO STOP AT RED LIGHT,aE0rxYvvj2,GFN8413,"",4DSD,HYUND,GY
31,3,NY,0,0,0,"",HORACE HARDING EXPWY,-72.324326,-74.93364,"",07:21:00,1,7,FAILURE TO STOP AT RED LIGHT,vLCqFjzssm,GGZ6809,"",SUBN,LEXUS,WH
66,6,NY,0,0,0,"",RICHMOND RD.(W/B)@ N,-75.56946,-76.95254,"",07:23:00,1,7,FAILURE TO STOP AT RED LIGHT,pEd7hTxlaB,EYB6725,"",SUBN,ME/BE,GY
270,527,CT,0,0,0,"",GUN HILL ROAD(W/B)@E,-50.472343,-114.74256,"",07:24:00,1,7,FAILURE TO STOP AT RED LIGHT,gZWYYIRIpg,867ZJV,"",2D S,ACURA,GRY
47,4,NY,0,0,0,"",ROCKAWAY BLVD. (N/B),-73.42445,-75.76516,"",07:26:00,1,7,FAILURE TO STOP AT RED LIGHT,XdPzd3KaIu,77960JX,"","",MACK,BK
41,4,NY,0,0,0,"",HORACE HARDING EXPWY,-72.92686,-75.89698,"",07:28:00,1,7,FAILURE TO STOP AT RED LIGHT,IXIQ5YeRO0,ESQUIRED,"",SUBN,CHEVR,BL
42,4,NY,0,0,0,"",REMSEN AVE.(N/B)@WIN,-72.9949,-75.49094,"",07:28:00,1,7,FAILURE TO STOP AT RED LIGHT,R1UdBqpdxc,GHG1454,"",4DSD,NISSA,WH
27,2,NY,0,0,0,"",3RD AVE.(S/B)@E. 135,-71.7392,-72.70588,"",07:30:00,1,7,FAILURE TO STOP AT RED LIGHT,TtGBqi7AHq,58405BA,"","",FORD,WH
77,7,NY,0,0,0,"",BRONX RIVER PKWY OFF,-76.50628,-79.82652,"",07:33:00,1,7,FAILURE TO STOP AT RED LIGHT,hKKTTFrnRD,GCR2695,"",2DSD,HONDA,BL
47,4,NY,0,0,0,"",MCDONALD AVE.(N/B)@V,-73.4107,-75.13434,"",07:38:00,1,7,FAILURE TO STOP AT RED LIGHT,0SX905UZNw,37927SL,"",BUS,GMC,YW
73,7,NY,0,0,0,"",NORTHERN BLVD.(W/B)@,-76.046425,-78.00692,"",07:30:00,1,7,FAILURE TO STOP AT RED LIGHT,eZoYHF86Qz,ETU9529,"",SUBN,SUBAR,GY
1307,220,NJ,0,0,0,"",SEAGIRT BLVD.(W/B)@B,-57.60886,-84.22123,"",07:40:00,1,7,FAILURE TO STOP AT RED LIGHT,q7UBDBNC0p,W29BJS,"",4 DR,TOYOT,BK
27,2,NY,0,0,0,"",SUNRISE HWY.(W/B) @,-71.85697,-73.71948,"",07:38:00,1,7,FAILURE TO STOP AT RED LIGHT,BtR85k2KZD,FBG7564,"",4DSD,NISSA,BL
11,1,NY,0,0,0,"",HORACE HARDING EXPWY,-71.88362,-72.16471,"",07:42:00,1,7,FAILURE TO STOP AT RED LIGHT,7RivaWkP40,EPZ3089,"",SUBN,CHEVR,WH
