timestamp,IdRegion,IdDrone,CurrentDate,CurrentTime,x,y,RegionState,StreetCode1,StreetCode2,StreetCode3,HouseNumber,StreetName,Violation,IdPhoto,Plaque,PlateType,VehicleBodyType,VehicleMake,VehicleColor,ViolationCode,ViolationDescription
2020-07-12T04:11:00.125+02:00,3,31,2020-07-12,04:10:59,41.881485,-75.41801,NY,0,0,0,1505,E 15th St,0,7fe19525-7fff-4403-9e0d-3c38520180ee,GHL1919,PAS,SUBN,BMW,BK,82,null
2020-07-12T04:11:00.420+02:00,4,47,2020-07-12,04:11:00,43.57823,-75.90359,NY,29220,40404,40404,2486,E Fordham Rd,0,8ddb2441-8b34-402c-8672-52a37ce12b81,GKK8362,PAS,SUBN,JEEP,GY,72,72-Insp Stkr Mutilated
2020-07-12T04:11:00.562+02:00,3,32,2020-07-12,04:11:00,41.83278,-75.59003,NY,10140,6740,7040,21-25,45th Ave,"","","","","","","","",""
2020-07-12T04:11:00.694+02:00,3,32,2020-07-12,04:11:00,41.2923,-75.74053,NY,24890,18970,18990,1569,Lexington Ave,"","","","","","","","",""
2020-07-12T04:11:00.836+02:00,2,25,2020-07-12,04:11:00,43.429996,-73.28344,NY,10210,19350,19370,2212,3rd Ave,"","","","","","","","",""
2020-07-12T04:11:00.967+02:00,6,65,2020-07-12,04:11:00,43.286385,-77.58504,NY,17390,23140,23290,148-58,86th Ave,"","","","","","","","",""
2020-07-12T04:11:01.109+02:00,6,65,2020-07-12,04:11:01,43.30212,-77.545746,NY,35580,12330,19630,170,E 17TH,"","","","","","","","",""
2020-07-12T04:11:01.223+02:00,3,34,2020-07-12,04:11:01,41.83278,-75.59003,NY,10140,6740,7040,21-25,45th Ave,"","","","","","","","",""
2020-07-12T04:11:01.333+02:00,3,37,2020-07-12,04:11:01,41.769207,-75.94161,NY,32130,77730,51030,397,DEGRAW ST,"","","","","","","","",""
2020-07-12T04:11:01.442+02:00,1,12,2020-07-12,04:11:01,41.951427,-73.72924,NY,38950,0,0,E,Elm Pl,"","","","","","","","",""
2020-07-12T04:11:01.696+02:00,4,44,2020-07-12,04:11:01,43.363434,-75.724396,NY,0,40404,40404,2125,Frederick Douglass B,0,c95bafbc-ba9f-42a0-a5af-67d6e3b32d2f,GHT3792,PAS,SUBN,NISSA,GREY,72,null
2020-07-12T04:11:01.799+02:00,4,42,2020-07-12,04:11:01,43.719753,-75.6734,NY,36330,24690,10610,127,W 128th St,"","","","","","","","",""
2020-07-12T04:11:01.903+02:00,6,64,2020-07-12,04:11:01,43.82074,-77.976036,NY,5580,10530,10580,7909,5th Ave,"","","","","","","","",""
2020-07-12T04:11:02.009+02:00,5,52,2020-07-12,04:11:02,41.707153,-77.646126,NY,37510,12010,31190,564,W 188th St,"","","","","","","","",""
2020-07-12T04:11:02.186+02:00,7,71,2020-07-12,04:11:02,41.114594,-79.67785,NY,0,0,0,65-21,Main St,"","","","","","","","",""
2020-07-12T04:11:02.290+02:00,6,65,2020-07-12,04:11:02,43.862072,-77.035286,NY,18010,10110,10010,335,E 51st St,"","","","","","","","",""
2020-07-12T04:11:02.387+02:00,5,51,2020-07-12,04:11:02,41.974518,-77.826645,NY,12110,17130,31090,121,Avenue A,"","","","","","","","",""
2020-07-12T04:11:02.485+02:00,4,46,2020-07-12,04:11:02,43.493057,-75.23407,NY,10910,34790,34810,772,9th Ave,"","","","","","","","",""
2020-07-12T04:11:02.588+02:00,7,74,2020-07-12,04:11:02,41.818405,-79.27268,NY,0,0,0,1267,Park Ave,"","","","","","","","",""
2020-07-12T04:11:02.871+02:00,7,74,2020-07-12,04:11:02,41.070866,-79.47578,NY,24890,17890,17910,459,Lexington Ave,0,6785b176-cb82-47aa-a0cf-27974c3c16ee,FWG2081,PAS,P-U,DODGE,BLACK,75,null
2020-07-12T04:11:02.968+02:00,2,21,2020-07-12,04:11:02,43.429996,-73.28344,NY,10210,19350,19370,2212,3rd Ave,"","","","","","","","",""
2020-07-12T04:11:03.069+02:00,7,71,2020-07-12,04:11:03,41.69397,-79.67118,NY,18870,10410,25390,17,E 95th St,"","","","","","","","",""
2020-07-12T04:11:03.168+02:00,6,63,2020-07-12,04:11:03,43.813957,-77.84913,NY,58030,85330,83330,262,Macon St,"","","","","","","","",""
2020-07-12T04:11:03.270+02:00,3,32,2020-07-12,04:11:03,41.2923,-75.74053,NY,24890,18970,18990,1569,Lexington Ave,"","","","","","","","",""
2020-07-12T04:11:03.373+02:00,4,47,2020-07-12,04:11:03,43.740265,-75.097244,NY,17570,24890,10210,154,E 29th St,"","","","","","","","",""
2020-07-12T04:11:03.476+02:00,2,26,2020-07-12,04:11:03,43.773342,-73.02493,NY,5880,9330,9380,5518,8th Ave,"","","","","","","","",""
2020-07-12T04:11:03.583+02:00,7,77,2020-07-12,04:11:03,41.555294,-79.06246,NY,0,0,0,65-01,Kissena Blvd,"","","","","","","","",""
2020-07-12T04:11:03.687+02:00,4,44,2020-07-12,04:11:03,43.493057,-75.23407,NY,10910,34790,34810,772,9th Ave,"","","","","","","","",""
2020-07-12T04:11:03.791+02:00,5,53,2020-07-12,04:11:03,41.69147,-77.46984,NY,8990,19740,20190,104-41,38th Ave,"","","","","","","","",""
2020-07-12T04:11:03.903+02:00,6,65,2020-07-12,04:11:03,43.82074,-77.976036,NY,5580,10530,10580,7909,5th Ave,"","","","","","","","",""
2020-07-12T04:11:04.011+02:00,7,75,2020-07-12,04:11:04,41.070866,-79.47578,NY,24890,17890,17910,459,Lexington Ave,"","","","","","","","",""
2020-07-12T04:11:04.261+02:00,2,26,2020-07-12,04:11:04,43.764164,-73.41271,NY,52930,93250,42730,387,Jay St,0,c241e5e2-52c0-4401-9aed-b622d501e359,CKZ1857,PAS,4DSD,TOYOT,BK,70,70A-Reg. Sticker Expired (NYS)
2020-07-12T04:11:04.387+02:00,7,77,2020-07-12,04:11:04,41.360966,-79.621544,NY,10140,5640,5690,10-35,45th Ave,"","","","","","","","",""
2020-07-12T04:11:04.569+02:00,6,63,2020-07-12,04:11:04,43.286385,-77.58504,NY,17390,23140,23290,148-58,86th Ave,"","","","","","","","",""
2020-07-12T04:11:04.717+02:00,7,77,2020-07-12,04:11:04,41.407223,-79.792175,NY,81430,73110,50930,1757,STERLING PL,"","","","","","","","",""
2020-07-12T04:11:04.883+02:00,7,77,2020-07-12,04:11:04,41.818405,-79.27268,NY,0,0,0,1267,Park Ave,"","","","","","","","",""
2020-07-12T04:11:05.389+02:00,4,44,2020-07-12,04:11:05,43.5327,-75.084076,NY,70820,64820,46550,3141,Valhalla Dr,0,5964230a-74a6-47e6-aa09-f0a2a48118b8,CKE1681,PAS,4DSD,ME/BE,GY,82,82-Unaltered Commerc Vehicle
2020-07-12T04:11:05.558+02:00,4,46,2020-07-12,04:11:05,43.09495,-75.33097,NY,10210,40404,40404,2382,3rd Ave,"","","","","","","","",""
2020-07-12T04:11:05.719+02:00,3,32,2020-07-12,04:11:05,41.13678,-75.33113,NY,18770,24890,10210,156,E 89th St,"","","","","","","","",""
2020-07-12T04:11:05.942+02:00,1,15,2020-07-12,04:11:05,41.895206,-73.845856,NY,29020,39595,61470,132-25,AVERY AVE,"","","","","","","","",""
2020-07-12T04:11:06.106+02:00,5,51,2020-07-12,04:11:06,41.74018,-77.06162,NY,28890,22140,66290,134-10,ATLANTIC AVE,"","","","","","","","",""
2020-07-12T04:11:06.243+02:00,7,77,2020-07-12,04:11:06,41.407223,-79.792175,NY,81430,73110,50930,1757,STERLING PL,"","","","","","","","",""
2020-07-12T04:11:06.365+02:00,4,46,2020-07-12,04:11:06,43.371902,-75.66131,NY,60530,68430,68130,860,Metropolitan Ave,"","","","","","","","",""
2020-07-12T04:11:06.487+02:00,6,64,2020-07-12,04:11:06,43.246384,-77.44939,NY,72230,41930,18630,1010,PRESIDENT ST,"","","","","","","","",""
2020-07-12T04:11:06.599+02:00,2,23,2020-07-12,04:11:06,43.49893,-73.001114,NY,0,0,0,109-13,127th St,"","","","","","","","",""
2020-07-12T04:11:06.704+02:00,1,15,2020-07-12,04:11:06,41.58413,-73.080574,NY,0,0,0,null,NB SOUTHERN BLVD @ E,"","","","","","","","",""
2020-07-12T04:11:06.947+02:00,3,37,2020-07-12,04:11:06,41.2923,-75.74053,NY,24890,18970,18990,1569,Lexington Ave,0,f729e22e-0204-4e83-8b7a-c8bb40e04fad,FFV7263,PAS,4DSD,CHEVR,WH,35,35-Selling/Offer Merchandise
2020-07-12T04:11:07.068+02:00,3,35,2020-07-12,04:11:07,41.37651,-75.72055,NY,27225,15840,61950,76-22A,249th St,"","","","","","","","",""
2020-07-12T04:11:07.185+02:00,6,64,2020-07-12,04:11:07,43.58809,-77.31657,NY,45990,39490,52390,137-20,Franklin Ave,"","","","","","","","",""
2020-07-12T04:11:07.287+02:00,1,13,2020-07-12,04:11:07,41.584595,-73.78567,NY,81830,60330,83630,2943,Stillwell Ave,"","","","","","","","",""
2020-07-12T04:11:07.585+02:00,5,54,2020-07-12,04:11:07,41.57524,-77.10057,NY,0,0,0,S,W 57th St,0,1caea228-f6e0-43bd-a660-18835cab35f1,GZH6217,PAS,SDN,HONDA,GR,62,null
2020-07-12T04:11:07.699+02:00,4,47,2020-07-12,04:11:07,43.120262,-75.29971,NY,35250,44990,29690,315,W 74th St,"","","","","","","","",""
2020-07-12T04:11:07.805+02:00,3,34,2020-07-12,04:11:07,41.765865,-75.07626,NY,54010,58330,59640,202,Kent St,"","","","","","","","",""
2020-07-12T04:11:07.905+02:00,6,61,2020-07-12,04:11:07,43.813957,-77.84913,NY,58030,85330,83330,262,Macon St,"","","","","","","","",""
2020-07-12T04:11:08.001+02:00,6,67,2020-07-12,04:11:07,43.985195,-77.08556,NY,35290,11710,13610,205,W 76th St,"","","","","","","","",""
2020-07-12T04:11:08.108+02:00,3,31,2020-07-12,04:11:08,41.769207,-75.94161,NY,32130,77730,51030,397,DEGRAW ST,"","","","","","","","",""
2020-07-12T04:11:08.212+02:00,1,16,2020-07-12,04:11:08,41.04705,-73.8073,NY,10110,31090,17170,136,2nd Ave,"","","","","","","","",""
