timestamp,IdRegion,IdDrone,CurrentDate,CurrentTime,x,y,RegionState,StreetCode1,StreetCode2,StreetCode3,HouseNumber,StreetName,Violation,IdPhoto,Plaque,PlateType,VehicleBodyType,VehicleMake,VehicleColor,ViolationCode,ViolationDescription
2020-07-12T03:57:00.127+02:00,3,31,2020-07-12,03:57:00,41.281487,-75.29116,NY,26160,21520,50320,389,E 150th St,"","","","","","","","",""
2020-07-12T03:57:00.247+02:00,7,76,2020-07-12,03:57:00,41.576843,-79.79493,NY,17670,0,0,N,E 34th St,"","","","","","","","",""
2020-07-12T03:57:00.371+02:00,5,51,2020-07-12,03:57:00,41.37658,-77.0036,NY,27530,12630,28930,246,Clinton St,"","","","","","","","",""
2020-07-12T03:57:00.505+02:00,3,32,2020-07-12,03:57:00,41.2923,-75.74053,NY,24890,18970,18990,1569,Lexington Ave,"","","","","","","","",""
2020-07-12T03:57:00.636+02:00,2,27,2020-07-12,03:57:00,43.088142,-73.595535,NY,9840,10540,10640,47-17,43rd Ave,"","","","","","","","",""
2020-07-12T03:57:00.774+02:00,1,16,2020-07-12,03:57:00,41.557148,-73.83923,NY,20830,34330,56630,535,Bradford St,"","","","","","","","",""
2020-07-12T03:57:00.883+02:00,1,16,2020-07-12,03:57:00,41.58413,-73.080574,NY,0,0,0,null,NB SOUTHERN BLVD @ E,"","","","","","","","",""
2020-07-12T03:57:00.986+02:00,5,56,2020-07-12,03:57:00,41.69147,-77.46984,NY,8990,19740,20190,104-41,38th Ave,"","","","","","","","",""
2020-07-12T03:57:01.083+02:00,3,36,2020-07-12,03:57:01,41.281487,-75.29116,NY,26160,21520,50320,389,E 150th St,"","","","","","","","",""
2020-07-12T03:57:01.186+02:00,4,46,2020-07-12,03:57:01,43.664005,-75.883316,NY,9890,42490,6940,22-71,43rd St,"","","","","","","","",""
2020-07-12T03:57:01.281+02:00,4,47,2020-07-12,03:57:01,43.5327,-75.084076,NY,70820,64820,46550,3141,Valhalla Dr,"","","","","","","","",""
2020-07-12T03:57:01.378+02:00,5,53,2020-07-12,03:57:01,41.69147,-77.46984,NY,8990,19740,20190,104-41,38th Ave,"","","","","","","","",""
2020-07-12T03:57:01.475+02:00,1,11,2020-07-12,03:57:01,41.17809,-73.80342,NY,17250,10010,12110,446,E 13th St,"","","","","","","","",""
2020-07-12T03:57:01.569+02:00,6,65,2020-07-12,03:57:01,43.532043,-77.18233,NY,51090,24840,24890,175-09,Jamaica Ave,"","","","","","","","",""
2020-07-12T03:57:01.660+02:00,1,13,2020-07-12,03:57:01,41.951427,-73.72924,NY,38950,0,0,E,Elm Pl,"","","","","","","","",""
2020-07-12T03:57:01.762+02:00,5,56,2020-07-12,03:57:01,41.97286,-77.47715,NY,77850,40020,76950,2939,Wilkinson Ave,"","","","","","","","",""
2020-07-12T03:57:01.862+02:00,3,37,2020-07-12,03:57:01,41.462788,-75.58729,NY,34250,10910,11010,460,W 24th St,"","","","","","","","",""
2020-07-12T03:57:01.963+02:00,2,27,2020-07-12,03:57:01,43.088142,-73.595535,NY,9840,10540,10640,47-17,43rd Ave,"","","","","","","","",""
2020-07-12T03:57:02.063+02:00,4,45,2020-07-12,03:57:02,43.57823,-75.90359,NY,29220,40404,40404,2486,E Fordham Rd,"","","","","","","","",""
2020-07-12T03:57:02.176+02:00,1,13,2020-07-12,03:57:02,41.291145,-73.337776,NY,29220,27300,21820,135,E Fordham Rd,"","","","","","","","",""
2020-07-12T03:57:02.294+02:00,4,44,2020-07-12,03:57:02,43.495377,-75.55741,NY,0,0,0,3250,Coney Island Ave,"","","","","","","","",""
2020-07-12T03:57:02.416+02:00,1,14,2020-07-12,03:57:02,41.362175,-73.66265,NY,5580,9230,9280,5314,5th Ave,"","","","","","","","",""
2020-07-12T03:57:02.529+02:00,2,21,2020-07-12,03:57:02,43.49893,-73.001114,NY,0,0,0,109-13,127th St,"","","","","","","","",""
2020-07-12T03:57:02.635+02:00,1,15,2020-07-12,03:57:02,41.241913,-73.2428,NY,16440,41700,16040,76 08,79 PLACE,"","","","","","","","",""
2020-07-12T03:57:02.734+02:00,1,11,2020-07-12,03:57:02,41.04705,-73.8073,NY,10110,31090,17170,136,2nd Ave,"","","","","","","","",""
2020-07-12T03:57:02.831+02:00,3,35,2020-07-12,03:57:02,41.83278,-75.59003,NY,10140,6740,7040,21-25,45th Ave,"","","","","","","","",""
